CODINST,NOMBREINSTITUCION,CODIGOMUNICIPIO,NOMBREMUNICIPIO,DEPARTAMENTO,CALENDARIO,NATURALEZA,JORNADA,EVALUADOS,PROMLECTURACRITICA,PROMMATEMATICA,PROMSOCIALESYCIUDADANAS,PROMCIENCIASNATURALES,PROMINGLES,DESVLECTURACRITICA,DESVMATEMATICA,DESVSOCIALESYCIUDADANAS,DESVCIENCIASNATURALES,DESVINGLES,PERIODO
145680,COLEGIO DEBORA ARANGO PÉREZ,11001,BOGOTÁ D.C.,BOGOTA,A,OFICIAL,MAÑANA,98,"52,2755102040816","49,0918367346939","48,1122448979592","51,2448979591837","49,5","7,97002194081097","9,34900263129034","9,6952349365804","7,97297138273384","8,39642781187333",50
145698,COLEGIO DEBORA ARANGO PÉREZ,11001,BOGOTÁ D.C.,BOGOTA,A,OFICIAL,TARDE,79,"52,7088607594937","48,1772151898734","49,7848101265823","50,9746835443038","52,0126582278481","7,84979486704732","10,3400633505857","9,96618756168917","8,64539996782683","9,60701355832807",51
145706,INSTITUCION EDUCATIVA DISTRITAL BETSABE ESPINOSA,08001,BARRANQUILLA,ATLANTICO,A,OFICIAL,NOCTURNA,24,"45,875","40,25","41,0416666666667","41,4583333333333","40,7083333333333","8,07741079909839","9,87861106237811","8,14263693356667","5,74061931719284","6,87452238130145",42
145722,SEDE LA CONCEPCION,44430,MAICAO,LA GUAJIRA,A,OFICIAL,TARDE,33,"51,1212121212121","47,3333333333333","46,8181818181818","47,2121212121212","46,6969696969697","6,61323283159216","10,3551516969413","8,96330904805302","7,50315590167554","9,97648750965504",48
145748,INST SAN JUAN DE LABOYOS,41551,PITALITO,HUILA,A,NO OFICIAL,COMPLETA,21,"59,4761904761905","57,2380952380952","56,7619047619048","56,8571428571429","56,6666666666667","7,70466772560016","10,8991043756116","7,87975102338114","8,84469170907451","6,95221787153807",58
145755,SEDE SAN PEDRO 02,73555,PLANADAS,TOLIMA,A,OFICIAL,MAÑANA,2,52,42,"39,5",42,54,"7,07106781186548","11,3137084989848","2,12132034355964","2,82842712474619","4,24264068711929",45
145771,INSTITUCION EDUCATIVA SAN ISIDRO,23001,MONTERIA,CORDOBA,A,OFICIAL,MAÑANA,29,"51,2758620689655","46,448275862069","45,1379310344828","50,2068965517241","45,6206896551724","6,94826058255969","9,630999825328","9,47449259075212","6,79484736685941","6,66769286026417",48
145797,CENT EDUC PARA LA FORMACION EN COMPETENCIAS  COMPUCEC,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,10,"48,8",42,"39,2","40,2","46,9","6,26808494588968","9,91071249821234","10,6228265750903","8,50881895447306","8,2522724143111",43
145805,I.E. DINDALITO CENTRO - SEDE PRINCIPAL,73268,ESPINAL,TOLIMA,A,OFICIAL,TARDE,8,"45,875","39,25","45,75","44,25","38,875","9,55342122712367","9,91031208965115","6,51920240520265","7,74135462490716","4,2907708265199",43
145813,INSTITUCION EDUCATIVA  EL TAGUI,68655,SABANA DE TORRES,SANTANDER,A,OFICIAL,MAÑANA,25,"52,44","50,8","45,88","49,84","43,12","7,30342385460409","11,1280426550824","8,43761419675807","8,79242097869902","7,17820776145875",49
145821,INSTITUCION EDUCATIVA  EL TAGUI,68655,SABANA DE TORRES,SANTANDER,A,OFICIAL,FIN DE SEMANA,29,"43,8620689655172","37,6206896551724","39,3103448275862","41,2068965517241","40,8620689655172","7,637894894776","8,98973141623044","8,15958440939183","6,99683249939789","5,39658713534393",41
145847,LA GAITANA,41807,TIMANA,HUILA,A,OFICIAL,TARDE,20,"51,85","49,05","48,25",53,"46,35","7,27848306925789","10,1798304194334","11,2571614632876","7,62958231594558","7,99522884041016",50
145862,INSTITUCION EDUCATIVA LA POZA,23001,MONTERIA,CORDOBA,A,OFICIAL,MAÑANA,30,"47,5333333333333","49,3","46,2","51,0333333333333","45,4666666666667","6,53232457612266","10,2289312483152","9,84500573544955","8,40149138375231","6,29577490140772",48
145870,SEDEPRINCIPAL OVIDIO DECROLY,50251,EL CASTILLO,META,A,OFICIAL,NOCTURNA,11,"47,3636363636364","46,2727272727273","41,8181818181818","42,0909090909091","40,1818181818182","8,12739475198206","7,2950792879983","8,44770006354608","7,25885039733628","5,91300569622898",44
145888,COLEGIO ATENEO AUTONOMO - SEDE PRINCIPAL,41359,ISNOS,HUILA,A,NO OFICIAL,FIN DE SEMANA,68,"46,3823529411765","39,3088235294118","41,8235294117647","43,6617647058824","40,8823529411765","8,24626448539735","9,68651525058091","8,30561970599513","7,54807535835806","7,02347749851032",43
145896,I.E.T.I. DON BOSCO,13052,ARJONA,BOLIVAR,A,OFICIAL,FIN DE SEMANA,50,"44,5","38,7","39,82","39,26","38,66","6,91419716590289","8,70901479936222","8,48213007517834","7,19639932642055","4,79204272407788",40
145912,I.E.D. BAJO PALMAR - SEDE PRINCIPAL,25878,VIOTA,CUNDINAMARCA,A,OFICIAL,MAÑANA,16,"52,5","53,125","52,8125","51,0625","47,5","6,89927532426414","9,40832964275097","7,99348693207998","7,11307481567102","5,96657355607052",52
145920,I.E.D. BAJO PALMAR - SEDE PRINCIPAL,25878,VIOTA,CUNDINAMARCA,A,OFICIAL,FIN DE SEMANA,6,47,42,"47,5","43,8333333333333","38,6666666666667","8,02496105909555",12,"6,8629439747094","5,45588367422425","6,62319157707722",45
145938,PUERTO NUEVO ZABALETA,18610,SAN JOSE DEL FRAGUA,CAQUETA,A,OFICIAL,MAÑANA,8,"42,125","39,125","41,125","46,75",39,"7,80910640580232","6,9372184627558","7,19995039665453","6,25071424490262","4,34248118673448",42
145946,PUERTO NUEVO ZABALETA,18610,SAN JOSE DEL FRAGUA,CAQUETA,A,OFICIAL,NOCTURNA,19,"43,3684210526316","35,7894736842105","40,5263157894737","38,7894736842105","37,2631578947368","7,61001187264214","8,65113317798067","6,6614014295678","4,72086323754484","5,55619879317144",39
145953,DIVINO NIÑO,23686,SAN PELAYO,CORDOBA,A,OFICIAL,MAÑANA,24,52,"49,4583333333333","48,5416666666667","49,2083333333333","45,0416666666667","8,86124929851512","11,0727992873515","10,1723374538678","9,00714289818951","7,36312295905378",49
145961,COL BORDONES,41359,ISNOS,HUILA,A,OFICIAL,FIN DE SEMANA,57,"42,2280701754386","35,8421052631579","39,8421052631579","39,4561403508772","38,8245614035088","8,98613524082606","6,80280791208467","7,21058119731049","6,24519865702158","6,08899125769949",39
145979,COL BORDONES,41359,ISNOS,HUILA,A,OFICIAL,COMPLETA,29,"50,6551724137931","44,8965517241379","48,2758620689655","48,448275862069","42,6896551724138","7,76565636113341","8,85738121401825","8,92787189377873","6,34477404132472","6,03622072087602",48
145987,I.E.R. HOJAS ANCHAS,05318,GUARNE,ANTIOQUIA,A,OFICIAL,COMPLETA,11,"47,3636363636364","46,2727272727273","44,7272727272727",48,"47,2727272727273","5,7318884719214","9,33906750260334","3,82337309429538","5,91607978309962","6,06779876216918",47
145995,INSTITUCION EDUCATIVA NUEVA ESPERANZA,70001,SINCELEJO,SUCRE,A,OFICIAL,MAÑANA,56,"50,7142857142857","48,5892857142857","48,375",50,"45,625","8,03789725038783","10,5344055977877","10,2701022390237","8,09039834955891","7,59320868815142",49
146035,INSTITUCION EDUCATIVA DE MONTERREY,13744,SIMITI,BOLIVAR,A,OFICIAL,MAÑANA,16,"52,5",54,"47,1875","55,5625","44,375","8,45379599154526","12,36122971229","8,12583329060267","6,66301983588022","6,06492649034869",52
146043,COLEGIO FRANCISCO SAN JUAN - SEDE PRINCIPAL,68780,SURATA,SANTANDER,A,OFICIAL,MAÑANA,14,49,"52,2142857142857","50,5714285714286","54,9285714285714","48,3571428571429","6,11429598438082","10,0013735320441","9,92831448793946","10,1637688778424","7,90916841740932",51
146050,IE EL PARAÍSO,23807,TIERRALTA,CORDOBA,A,OFICIAL,MAÑANA,34,"46,5","41,1176470588235","41,5","44,5294117647059","42,4411764705882","7,3824115301167","8,56973075452147","10,28458687905","7,11905379360355","5,64178768396549",43
